City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ushuaia,AR,49.62,scattered clouds,-54.8,-68.3,Albatros Hotel
15,Bluff,NZ,59.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
21,San Quintin,MX,52.45,clear sky,30.4833,-115.95,Don Eddie's Landing
27,Jamestown,US,55.51,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Punta Arenas,CL,50.11,few clouds,-53.15,-70.9167,Hotel Hain
33,Namibe,AO,67.51,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
35,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
37,Ponta Do Sol,PT,63.23,broken clouds,32.6667,-17.1,Hotel do Campo
42,Lucapa,AO,65.55,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
46,Camargo,MX,64.63,broken clouds,27.6667,-105.1667,Hotel Santa Fe
49,Cape Town,ZA,60.12,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
50,Port Alfred,ZA,64.24,light rain,-33.5906,26.891,The Halyards Hotel
63,Abeche,TD,67.64,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
64,Port Elizabeth,ZA,61.11,few clouds,-33.918,25.5701,39 On Nile Guest House
66,Northam,GB,51.1,few clouds,51.0333,-4.2167,Durrant House Hotel
67,Dunedin,NZ,54.81,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
72,Ipameri,BR,68.25,light rain,-17.7219,-48.1597,Real Hotel
78,Guerrero Negro,MX,60.13,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Christchurch,NZ,60.33,broken clouds,-43.5333,172.6333,The George
80,Codrington,AU,65.95,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
85,Kaitangata,NZ,57.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
86,Iranshahr,IR,50.34,clear sky,27.2025,60.6848,نیک سرشت
97,Shorewood,US,64.92,overcast clouds,41.52,-88.2017,Wingate by Wyndham Joliet
100,Chuy,UY,63.36,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
106,Filadelfia,US,53.85,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
107,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Pasni,PK,63.54,scattered clouds,25.2631,63.471,Kashmiri Hotal
112,Mataura,NZ,59.49,broken clouds,-46.1927,168.8643,Ellie's Villa
119,Gidole,ET,60.67,broken clouds,5.65,37.3667,Shallom mekaneyesus church
120,Necochea,AR,57.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
122,Hokitika,NZ,63.27,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
123,Katsuura,JP,53.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
124,Ruwi,OM,65.89,overcast clouds,23.5996,58.5507,Al Falaj Hotel
127,Bethel,US,54.64,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
130,Mingshui,CN,48.58,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
133,Goma,CD,64.69,light rain,-1.6792,29.2228,Hotel la Versailles Goma
136,Mangan,IN,68.41,clear sky,27.5167,88.5333,Hotel Mout View
137,Ribeira Grande,PT,63.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
138,Komagane,JP,55.35,overcast clouds,35.7296,137.9396,駒ヶ根ユースホステル
139,Hamilton,US,59.23,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
141,Brae,GB,48.11,scattered clouds,60.3964,-1.353,Busta House Hotel
143,Sabha,LY,47.37,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
145,Saldanha,ZA,59.49,clear sky,-33.0117,17.9442,Blue Bay Lodge
146,Nantucket,US,50.97,overcast clouds,41.2835,-70.0995,Jared Coffin House
147,Lebu,CL,53.13,broken clouds,-37.6167,-73.65,Hostal Las Lilas
150,Fortuna,US,46.74,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
157,Hermanus,ZA,57.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
166,Paita,PE,68.74,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
168,Zhuji,CN,55.31,overcast clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
170,Castro,BR,66.13,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
172,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
179,Colares,PT,52.32,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
