,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,78.78,93,75,1.01,light rain
1,Baykit,RU,61.67,96.37,2.7,95,100,5.17,light snow
2,Smithers,CA,54.7804,-127.1743,12.52,92,90,4.61,light snow
3,Ushuaia,AR,-54.8,-68.3,49.62,57,40,42.57,scattered clouds
4,Bengkulu,ID,-3.8004,102.2655,82.9,73,100,5.64,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,76.39,76,41,12.95,light rain
6,Hinton,CA,53.4001,-117.5857,10.44,94,100,1.74,overcast clouds
7,Saskylakh,RU,71.9167,114.0833,-24.81,99,98,1.9,overcast clouds
8,Nikolskoye,RU,59.7035,30.7861,35.8,91,64,8.39,broken clouds
9,Airai,TL,-8.9266,125.4092,79.61,44,33,2.66,scattered clouds
10,Hirara,JP,24.8,125.2833,78.66,65,40,12.66,scattered clouds
11,Esperance,AU,-33.8667,121.9,93.04,49,93,7.29,overcast clouds
12,Hithadhoo,MV,-0.6,73.0833,82.11,72,54,3.2,broken clouds
13,Chokurdakh,RU,70.6333,147.9167,-36.62,100,92,4.07,overcast clouds
14,Inirida,CO,3.8653,-67.9239,73.51,97,100,0.56,overcast clouds
15,Bluff,NZ,-46.6,168.3333,59.81,76,77,16.44,broken clouds
16,Butaritari,KI,3.0707,172.7902,82.69,76,91,13.8,overcast clouds
17,Pevek,RU,69.7008,170.3133,-21.03,93,87,3.29,overcast clouds
18,Hobart,AU,-42.8794,147.3294,74.01,50,20,1.01,few clouds
19,Tasiilaq,GL,65.6145,-37.6368,35.76,76,100,26.69,overcast clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,1,8.05,clear sky
21,San Quintin,MX,30.4833,-115.95,52.45,66,0,10.49,clear sky
22,Besao,PH,17.095,120.8579,77.67,40,49,0.69,scattered clouds
23,Jieshi,CN,22.8134,115.8257,79.95,73,27,9.24,scattered clouds
24,Barrow,US,71.2906,-156.7887,-23.78,76,1,10.36,clear sky
25,Faanui,PF,-16.4833,-151.75,81.03,76,23,14.25,light rain
26,Zharkent,KZ,44.1628,80.0,31.68,75,94,5.53,overcast clouds
27,Jamestown,US,42.097,-79.2353,55.51,49,90,5.01,overcast clouds
28,Haines Junction,CA,60.7522,-137.5108,-32.85,75,80,2.3,broken clouds
29,Quang Ngai,VN,15.1167,108.8,80.53,75,73,5.46,broken clouds
30,Fort Nelson,CA,58.8053,-122.7002,-15.21,76,90,6.91,light snow
31,Punta Arenas,CL,-53.15,-70.9167,50.11,76,20,27.63,few clouds
32,Thompson,CA,55.7435,-97.8558,3.36,85,20,11.5,few clouds
33,Namibe,AO,-15.1961,12.1522,67.51,77,51,3.04,broken clouds
34,Aitape,PG,-3.1374,142.3475,82.72,78,97,3.02,overcast clouds
